Haider Associates,Upper Portion,PKR1.05 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",170 Sq. Yd.,For Sale,Karachi,+92 3438142930
Haider Associates,Upper Portion,PKR1.05 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",170 Sq. Yd.,For Sale,Karachi,+92 3178370090
Haider Associates,Upper Portion,PKR1.05 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",170 Sq. Yd.,For Sale,Karachi,+92 3449728211
Haider Associates,Upper Portion,PKR1.9 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",225 Sq. Yd.,For Sale,Karachi,+92 3414370046
Wahid Enterprises,Upper Portion,PKR1.6 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3271608588
Biz Link Real Estate Builders & Developers,Upper Portion,PKR1.88 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3274431185
FJ Builders & Realtors,Lower Portion,PKR2.15 Crore,"North Nazimabad, Karachi, Sindh",233 Sq. Yd.,For Sale,Karachi,+92 3133261993
FJ Builders & Realtors,Lower Portion,PKR2.15 Crore,"North Nazimabad, Karachi, Sindh",233 Sq. Yd.,For Sale,Karachi,+92 3198722224
Tabani Real Estate,Lower Portion,PKR5.8 Crore,"Bath Island, Karachi, Sindh",244 Sq. Yd.,For Sale,Karachi,+92 3175838001
Faha Enterprises,Lower Portion,PKR1.7 Crore,"North Nazimabad, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3296092430
Faha Enterprises,Upper Portion,PKR90 Lakh,"North Nazimabad, Karachi, Sindh",100 Sq. Yd.,For Sale,Karachi,+92 3154784369
Pak Estate Agency,Lower Portion,PKR1.15 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",120 Sq. Yd.,For Sale,Karachi,+92 3141625282
Ideal Estate,Upper Portion,PKR1.8 Crore,"North Nazimabad, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3247241248
Ideal Estate,Upper Portion,PKR1.65 Crore,"North Nazimabad, Karachi, Sindh",233 Sq. Yd.,For Sale,Karachi,+92 3061840771
Tabani Real Estate,Upper Portion,PKR4.5 Crore,"Bath Island, Karachi, Sindh",222 Sq. Yd.,For Sale,Karachi,+92 3185710078
Tabani Real Estate,Upper Portion,PKR3.5 Crore,"Bath Island, Karachi, Sindh",178 Sq. Yd.,For Sale,Karachi,+92 3289116233
Al Azmat Estate,Upper Portion,PKR1.55 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3366603622
Al Azmat Estate,Upper Portion,PKR2.4 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3486975560
Al Azmat Estate,Lower Portion,PKR2.7 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3159555406
Al Azmat Estate,Upper Portion,PKR2.5 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3444946247
Ideal Estate,Upper Portion,PKR1.65 Crore,"North Nazimabad, Karachi, Sindh",233 Sq. Yd.,For Sale,Karachi,+92 3393889795
North Associates,Upper Portion,PKR1.55 Crore,"North Nazimabad, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3312670895
AL Haram Estate,Lower Portion,PKR95 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",130 Sq. Yd.,For Sale,Karachi,+92 3143755682
AL Haram Estate,Lower Portion,PKR95 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",130 Sq. Yd.,For Sale,Karachi,+92 3472608831
United Estate,Lower Portion,PKR3.5 Crore,"Jamshed Town, Karachi, Sindh",300 Sq. Yd.,For Sale,Karachi,+92 3343124194
Ahmed  Rehman Builders & Developers,Upper Portion,PKR65 Lakh,"Malir, Karachi, Sindh",120 Sq. Yd.,For Sale,Karachi,+92 3011044105
Ahmed  Rehman Builders & Developers,Upper Portion,PKR52 Lakh,"Gohar Green City, Karachi, Sindh",80 Sq. Yd.,For Sale,Karachi,+92 3385400812
Shaikh Properties,Lower Portion,PKR85 Lakh,"Gulshan-e-Iqbal Town, Karachi, Sindh",120 Sq. Yd.,For Sale,Karachi,+92 3052761832
Continental Estate Services,Upper Portion,PKR4.25 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",300 Sq. Yd.,For Sale,Karachi,+92 3122734433
Continental Estate Services,Upper Portion,PKR2.7 Crore,"Al-Hilal Society, Karachi, Sindh",244 Sq. Yd.,For Sale,Karachi,+92 3045342315
Continental Estate Services,Upper Portion,PKR5.1 Crore,"Jamshed Town, Karachi, Sindh",500 Sq. Yd.,For Sale,Karachi,+92 3412954007
United Estate,Upper Portion,PKR3 Crore,"Jamshed Town, Karachi, Sindh",150 Sq. Yd.,For Sale,Karachi,+92 3108429135
Al Wahid Group,Lower Portion,PKR2.1 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3151917002
Estate Enterprises,Upper Portion,PKR1.71 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3476202996
Bin Rauf Enterprises,Upper Portion,PKR1.4 Crore,"North Nazimabad, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3384313127
Abdul Razzaq Estate,Lower Portion,PKR3.5 Crore,"North Nazimabad, Karachi, Sindh",400 Sq. Yd.,For Sale,Karachi,+92 3411999805
Silk Estate,Upper Portion,PKR3.25 Crore,"Bath Island, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3159765322
Al Hammad Associates,Upper Portion,PKR1.3 Crore,"North Nazimabad, Karachi, Sindh",170 Sq. Yd.,For Sale,Karachi,+92 3059347255
Al Hammad Associates,Upper Portion,PKR3.25 Crore,"North Nazimabad, Karachi, Sindh",360 Sq. Yd.,For Sale,Karachi,+92 3395751673
Al Hammad Associates,Lower Portion,PKR1.25 Crore,"North Nazimabad, Karachi, Sindh",140 Sq. Yd.,For Sale,Karachi,+92 3058298078
M4 Properties Karachi,Upper Portion,PKR3.5 Crore,"Jamshed Town, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3432199518
M4 Properties Karachi,Upper Portion,PKR1.7 Crore,"North Nazimabad, Karachi, Sindh",178 Sq. Yd.,For Sale,Karachi,+92 3197691846
Al Azmat Estate,Upper Portion,PKR3 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3096026632
Al Azmat Estate,Lower Portion,PKR1.75 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3197959163
Ali Estate,Upper Portion,PKR2.2 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3479108316
Shahzad Associates,Upper Portion,PKR1.78 Crore,"Jamshed Town, Karachi, Sindh",150 Sq. Yd.,For Sale,Karachi,+92 3475122977
Property Link,Upper Portion,PKR75 Lakh,"Shah Faisal Town, Karachi, Sindh",100 Sq. Yd.,For Sale,Karachi,+92 3201043007
Tahir Enterprises Real Estate,Lower Portion,PKR4.25 Crore,"Jamshed Town, Karachi, Sindh",250 Sq. Yd.,For Sale,Karachi,+92 3340282464
Mian Associates,Lower Portion,PKR1.85 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3476469118
Al Azmat Estate,Upper Portion,PKR2 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3148636177
ATA Associates,Lower Portion,PKR2.5 Crore,"North Nazimabad, Karachi, Sindh",300 Sq. Yd.,For Sale,Karachi,+92 3272211193
ATA Associates,Upper Portion,PKR2.5 Crore,"North Nazimabad, Karachi, Sindh",300 Sq. Yd.,For Sale,Karachi,+92 3371671670
Altamash Estate & Construction,Upper Portion,PKR2.3 Crore,"North Nazimabad, Karachi, Sindh",300 Sq. Yd.,For Sale,Karachi,+92 3001119842
NAYEL REAL ESTATE,Upper Portion,PKR4.5 Crore,"Kashmir Road, Karachi, Sindh",222 Sq. Yd.,For Sale,Karachi,+92 3343819037
Guru Marketing,Upper Portion,PKR60 Lakh,"Malir, Karachi, Sindh",117 Sq. Yd.,For Sale,Karachi,+92 3077385104
Guru Marketing,Upper Portion,PKR32 Lakh,"Malir, Karachi, Sindh",80 Sq. Yd.,For Sale,Karachi,+92 3090950718
Nazrah Associates,Upper Portion,PKR1.65 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",133 Sq. Yd.,For Sale,Karachi,+92 3435000043
Nazrah Associates,Upper Portion,PKR2 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",133 Sq. Yd.,For Sale,Karachi,+92 3392995804
Nazrah Associates,Upper Portion,PKR1.65 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",133 Sq. Yd.,For Sale,Karachi,+92 3097302962
Nazrah Associates,Upper Portion,PKR2 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",133 Sq. Yd.,For Sale,Karachi,+92 3438332350
Nazrah Associates,Upper Portion,PKR2 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",133 Sq. Yd.,For Sale,Karachi,+92 3065241708
Sheraton Estate,Upper Portion,PKR1.8 Crore,"Jamshed Town, Karachi, Sindh",111 Sq. Yd.,For Sale,Karachi,+92 3001544822
Nazrah Associates,Upper Portion,PKR1.65 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",133 Sq. Yd.,For Sale,Karachi,+92 3307401517
Nazrah Associates,Upper Portion,PKR2 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",133 Sq. Yd.,For Sale,Karachi,+92 3118843870
Guru Marketing,Upper Portion,PKR60 Lakh,"Malir, Karachi, Sindh",117 Sq. Yd.,For Sale,Karachi,+92 3456367556
Monza,Upper Portion,PKR3.5 Crore,"Jamshed Town, Karachi, Sindh",160 Sq. Yd.,For Sale,Karachi,+92 3136296860
Sheraton Estate,Upper Portion,PKR1.8 Crore,"Jamshed Town, Karachi, Sindh",111 Sq. Yd.,For Sale,Karachi,+92 3339315413
D Real Estate  Property Consultant,Lower Portion,PKR44 Lakh,"Nazimabad, Karachi, Sindh",75 Sq. Yd.,For Sale,Karachi,+92 3329471993
D Real Estate  Property Consultant,Upper Portion,PKR85 Lakh,"Nazimabad, Karachi, Sindh",120 Sq. Yd.,For Sale,Karachi,+92 3044424568
Urban Property Network,Upper Portion,PKR1.65 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",260 Sq. Yd.,For Sale,Karachi,+92 3204274982
Ak Zone Estate,Upper Portion,PKR1 Crore,"North Karachi, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3028795677
Ak Zone Estate,Upper Portion,PKR2.6 Crore,"North Nazimabad, Karachi, Sindh",280 Sq. Yd.,For Sale,Karachi,+92 3386481283
Shahid Estate Agency,Lower Portion,PKR2.2 Crore,"Nazimabad, Karachi, Sindh",216 Sq. Yd.,For Sale,Karachi,+92 3484920405
Stone Marketing,Upper Portion,PKR1.8 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3144948172
United Estate,Upper Portion,PKR4.5 Crore,"Jamshed Town, Karachi, Sindh",300 Sq. Yd.,For Sale,Karachi,+92 3396533166
Al Hammad Associates,Upper Portion,PKR85 Lakh,"North Nazimabad, Karachi, Sindh",100 Sq. Yd.,For Sale,Karachi,+92 3135218078
